time,rnti,tbs_dl,tbs_ul,series_id
17:48:57.000000,"0x3ae4,",0.0,22.0,194.0
17:48:58.000000,"0x3ae4,",11.0,22.0,194.0
17:48:58.000000,"0x3ae4,",0.0,22.0,194.0
17:48:59.000000,"0x3ae4,",11.0,22.0,194.0
17:48:59.000000,"0x3ae4,",0.0,22.0,194.0
17:49:00.000000,"0x3ae4,",11.0,22.0,194.0
17:49:00.000000,"0x3ae4,",0.0,22.0,194.0
17:49:01.000000,"0x3ae4,",11.0,22.0,194.0
17:49:01.000000,"0x3ae4,",0.0,22.0,194.0
17:49:02.000000,"0x3ae4,",11.0,22.0,194.0
17:49:02.000000,"0x3ae4,",0.0,22.0,194.0
17:49:03.000000,"0x3ae4,",11.0,22.0,194.0
17:49:03.000000,"0x3ae4,",0.0,22.0,194.0
17:49:04.000000,"0x3ae4,",11.0,22.0,194.0
17:49:04.000000,"0x3ae4,",0.0,22.0,194.0
17:49:05.000000,"0x3ae4,",11.0,22.0,194.0
17:49:05.000000,"0x3ae4,",0.0,22.0,194.0
17:49:06.000000,"0x3ae4,",11.0,22.0,194.0
17:49:06.000000,"0x3ae4,",0.0,22.0,194.0
17:49:07.000000,"0x3ae4,",11.0,22.0,194.0
17:49:07.000000,"0x3ae4,",0.0,22.0,194.0
17:49:08.000000,"0x3ae4,",11.0,22.0,194.0
17:49:08.000000,"0x3ae4,",0.0,22.0,194.0
17:49:09.000000,"0x3ae4,",11.0,22.0,194.0
17:49:09.000000,"0x3ae4,",0.0,22.0,194.0
17:49:10.000000,"0x3ae4,",11.0,22.0,194.0
17:49:10.000000,"0x3ae4,",0.0,22.0,194.0
17:49:11.000000,"0x3ae4,",11.0,22.0,194.0
17:49:11.000000,"0x3ae4,",0.0,22.0,194.0
17:49:12.000000,"0x3ae4,",11.0,22.0,194.0
17:49:12.000000,"0x3ae4,",0.0,22.0,194.0
17:49:13.000000,"0x3ae4,",11.0,22.0,194.0
17:49:13.000000,"0x3ae4,",0.0,22.0,194.0
17:49:14.000000,"0x3ae4,",11.0,22.0,194.0
17:49:14.000000,"0x3ae4,",0.0,22.0,194.0
17:49:15.000000,"0x3ae4,",11.0,22.0,194.0
17:49:15.000000,"0x3ae4,",0.0,22.0,194.0
17:49:16.000000,"0x3ae4,",11.0,22.0,194.0
17:49:16.000000,"0x3ae4,",0.0,22.0,194.0
17:49:17.000000,"0x3ae4,",11.0,22.0,194.0
17:49:17.000000,"0x3ae4,",0.0,22.0,194.0
17:49:18.000000,"0x3ae4,",11.0,22.0,194.0
17:49:18.000000,"0x3ae4,",0.0,22.0,194.0
17:49:19.000000,"0x3ae4,",11.0,22.0,194.0
17:49:19.000000,"0x3ae4,",0.0,22.0,194.0
17:49:20.000000,"0x3ae4,",11.0,22.0,194.0
17:49:20.000000,"0x3ae4,",0.0,22.0,194.0
17:49:21.000000,"0x3ae4,",11.0,22.0,194.0
17:49:21.000000,"0x3ae4,",0.0,22.0,194.0
17:49:22.000000,"0x3ae4,",11.0,22.0,194.0
17:49:22.000000,"0x3ae4,",0.0,22.0,194.0
17:49:23.000000,"0x3ae4,",11.0,22.0,194.0
17:49:23.000000,"0x3ae4,",0.0,22.0,194.0
17:49:25.000000,"0x3ae4,",11.0,22.0,195.0
17:49:25.000000,"0x3ae4,",0.0,22.0,195.0
17:49:26.000000,"0x3ae4,",11.0,22.0,195.0
17:49:26.000000,"0x3ae4,",0.0,22.0,195.0
17:49:27.000000,"0x3ae4,",11.0,22.0,195.0
17:49:27.000000,"0x3ae4,",0.0,22.0,195.0
17:49:28.000000,"0x3ae4,",11.0,22.0,195.0
17:49:28.000000,"0x3ae4,",0.0,22.0,195.0
17:49:29.000000,"0x3ae4,",11.0,22.0,195.0
17:49:29.000000,"0x3ae4,",0.0,22.0,195.0
17:49:30.000000,"0x3ae4,",11.0,22.0,195.0
17:49:30.000000,"0x3ae4,",0.0,22.0,195.0
17:49:31.000000,"0x3ae4,",11.0,22.0,195.0
17:49:31.000000,"0x3ae4,",0.0,22.0,195.0
17:49:32.000000,"0x3ae4,",11.0,22.0,195.0
17:49:32.000000,"0x3ae4,",0.0,22.0,195.0
17:49:33.000000,"0x3ae4,",11.0,22.0,195.0
17:49:33.000000,"0x3ae4,",0.0,22.0,195.0
17:49:34.000000,"0x3ae4,",11.0,22.0,195.0
17:49:34.000000,"0x3ae4,",0.0,22.0,195.0
17:49:35.000000,"0x3ae4,",11.0,22.0,195.0
17:49:35.000000,"0x3ae4,",0.0,22.0,195.0
17:49:36.000000,"0x3ae4,",11.0,22.0,195.0
17:49:36.000000,"0x3ae4,",0.0,22.0,195.0
17:49:37.000000,"0x3ae4,",11.0,22.0,195.0
17:49:37.000000,"0x3ae4,",0.0,22.0,195.0
17:49:38.000000,"0x3ae4,",11.0,22.0,195.0
17:49:38.000000,"0x3ae4,",0.0,22.0,195.0
17:49:39.000000,"0x3ae4,",11.0,22.0,195.0
17:49:39.000000,"0x3ae4,",0.0,22.0,195.0
17:49:40.000000,"0x3ae4,",11.0,22.0,195.0
17:49:40.000000,"0x3ae4,",0.0,22.0,195.0
17:49:41.000000,"0x3ae4,",11.0,22.0,195.0
17:49:41.000000,"0x3ae4,",0.0,22.0,195.0
17:49:42.000000,"0x3ae4,",11.0,22.0,195.0
17:49:42.000000,"0x3ae4,",0.0,22.0,195.0
17:49:43.000000,"0x3ae4,",11.0,22.0,195.0
17:49:43.000000,"0x3ae4,",0.0,22.0,195.0
17:49:44.000000,"0x3ae4,",11.0,22.0,195.0
